respid,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)"
1014,0.0772626772484514,-3.614717695325236,-1.0108658822099297,-1.1434433969637705,0.0912200609790695,-4.169316081550178,-1.5530632506563071,0.0119695263461275,0.1187540824190187,-4.113469724168789,-2.1382480467660514,-0.7695467658584801
1019,0.083332585925956,-2.843350001170005,-0.2411117762755501,-0.4095486756361491,0.1226506693619644,-4.5076421130590845,-1.9845687543986672,-0.3669770276413773,0.2432666975240658,-7.327961139197104,-4.759250894711484,-3.453069805367373
1031,0.0783537403487378,-3.3111741633998744,-0.6220116261176959,-0.8532075640561232,0.1053236914433564,-4.740989334622167,-2.206489778076426,-0.5708523810454608,0.2177865985278567,-7.408175361173311,-5.059884526547996,-3.808630234933016
1033,0.0845179002228993,-3.110889259888368,-0.4571061011192418,-0.6361681866601823,0.1161295860613631,-4.652682296024391,-2.081699663220945,-0.3615397746025947,0.1951590150125968,-6.00178810253128,-3.656908028180685,-2.456188961793821
1035,0.0719610364872893,-2.979059950862006,-0.2655645674367621,-0.4736857093167842,0.0978493735947544,-4.436545169977356,-1.853267869788932,-0.2299102174274179,0.1779227945960834,-5.898492509975374,-3.5905601678667054,-2.3750371948943907
1041,0.0783192404372455,-4.1207619540988265,-1.4617304054953053,-1.779832127235878,0.1037519674150072,-5.017164626726918,-2.5320694914708137,-1.0786054924635786,0.1933052409922727,-6.160886927118236,-4.1346358861529495,-3.062368736524599
1047,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
1048,0.0707082448251525,-4.035938694072772,-1.261149474463502,-1.472073748677453,0.0793441586343743,-4.433126935416759,-1.7465672735045006,-0.1127866644890267,0.2028905655168388,-7.589102544355946,-5.205742492073626,-3.8555102955063862
1066,0.074417011474356,-3.273624648619878,-0.5861583072468051,-0.7336007560705597,0.0978631508888174,-4.628449072805557,-2.025271043062384,-0.4395153882278485,0.2143172079761821,-7.3904918390355006,-4.965870567682213,-3.797481573842523
1068,0.0751471181034596,-3.2982345457084543,-0.5818617565541913,-0.6730771618192991,0.1003785165742389,-4.823809138121215,-2.104792278887124,-0.3501404311265518,0.1956898052002489,-7.012512852482102,-4.675016175021741,-3.346450241630796
1078,0.0732705658866987,-3.5424390287848677,-0.8654326865059817,-0.9591825536597078,0.0976821518582547,-4.990562680212055,-2.3869999311524936,-0.4226393808902991,0.1844346007617247,-6.854601613190159,-4.679659180038357,-3.206754159912437
1105,0.0766700489729759,-3.1325657614393645,-0.3940579498651606,-0.5471402581070861,0.1055166486413818,-4.424458156125379,-1.8182321565592496,-0.1306255439481047,0.2220541389510681,-6.794911852702205,-4.392850712852782,-3.1537381485850906
1111,0.0778039106891556,-3.555370607443824,-0.8445766131945794,-0.9902785460934508,0.1013515873558698,-5.035382286652726,-2.4369775333184096,-0.6440394117980367,0.2079059809780623,-7.31842688543977,-4.985930458301384,-3.6526799186864247
1112,0.0694472729216357,-3.385141157217848,-0.6704268088691685,-0.7884652448978836,0.096368677055985,-5.112318831503033,-2.4890932365142486,-0.6742437784663523,0.1706414012663844,-6.333546605595916,-4.148882680378973,-2.8752756773183825
