respid,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome
1506,1,0.0,2.0,1,1.0,0.0,1.0,
1540,1,0.0,4.0,1,1.0,0.5,0.95,0.8
1591,1,0.0,2.0,1,1.0,0.0,1.0,
1592,1,0.0,2.0,1,1.0,0.5,1.0,0.9
1660,1,0.0,0.0,0,1.0,0.0,1.0,0.4
1685,0,0.0,2.0,1,1.0,0.0,1.0,0.1
1719,1,0.0,2.0,1,1.0,,,
1761,0,0.0,2.0,1,1.0,0.0,1.0,0.5
1771,1,0.0,0.0,0,1.0,0.0,0.75,0.0
1788,1,1.0,0.0,0,0.0,,,
1799,1,0.0,0.0,0,1.0,,1.0,0.5
1805,1,0.0,1.0,1,1.0,0.7,0.5,0.99
1842,1,0.0,2.0,1,1.0,0.7,0.8,0.3
1852,1,1.0,2.0,1,0.0,,0.5,0.0
1869,1,1.0,2.0,1,0.0,0.0,0.5,0.1
1884,1,1.0,0.0,0,0.0,0.0,0.0,1.0
1892,1,1.0,0.0,0,0.0,0.5,1.0,1.0
1914,1,0.0,0.0,0,1.0,0.0,,0.05
1929,1,0.0,3.0,1,1.0,0.8,0.05,0.2
1931,1,0.0,2.0,1,0.0,0.5,1.0,0.75
1955,0,0.0,5.0,1,1.0,0.0,1.0,0.55
1967,1,1.0,3.0,1,0.0,0.2,0.75,0.2
1978,1,0.0,2.0,1,1.0,0.0,1.0,0.0
2039,1,0.0,3.0,1,1.0,0.0,1.0,0.8
2048,1,0.0,2.0,1,1.0,0.0,1.0,1.0
2049,1,0.0,3.0,1,1.0,0.0,1.0,0.0
2061,0,0.0,3.0,1,1.0,,,
2086,1,0.0,2.0,1,1.0,0.2,1.0,0.35
2089,1,0.0,0.0,0,1.0,0.9,0.3,1.0
2136,0,0.0,0.0,0,1.0,0.1,0.5,0.5
2137,1,1.0,2.0,1,0.0,0.0,1.0,0.75
2142,1,0.0,2.0,1,1.0,0.4,0.6,0.02
2231,1,1.0,1.0,1,0.0,0.5,1.0,0.9
2306,1,1.0,2.0,1,0.0,0.2,0.5,
2334,1,1.0,2.0,1,0.0,0.5,1.0,1.0
2362,1,0.0,2.0,1,1.0,1.0,0.5,
2365,1,1.0,5.0,1,0.0,1.0,1.0,0.3
2367,1,0.0,2.0,1,1.0,1.0,1.0,0.1
2371,1,0.0,2.0,1,1.0,0.0,1.0,0.0
2392,0,1.0,4.0,1,0.0,0.5,,
2398,0,0.0,3.0,1,1.0,,,
2436,0,0.0,3.0,1,0.0,0.5,0.5,0.5
2442,0,1.0,2.0,1,0.0,0.25,0.5,0.5
