respid,mu,zeta
87,0.6218589280351817,1.7579845736747512
94,-1.0,3.0
109,-1.0,3.0
127,-1.0,0.5607410302174016
159,-0.052356984589712614,2.3326699909404707
171,-0.9050082946369771,3.0
222,0.3619998839736779,0.11122485207760427
272,0.1431708707147384,1.3173860661475267
346,0.5745397373879373,0.5391564617020568
351,-0.19151121813817248,2.7793827251770704
366,-1.0,1.1177232127821843
395,0.24967625588540945,0.009801474142605071
406,-1.0,2.0088682381368597
415,0.09533436497046982,0.38050299856634373
417,-0.010692138408846415,2.504720848965259
426,0.14760697316362761,0.011794222765088347
441,0.1720238643391456,0.840731232053434
442,0.32338424881266,0.04616212608241724
471,-1.0,3.0
486,0.017133803367837767,0.0262041755619894
496,0.18616512579675337,0.04232554047909619
504,0.014567689736925455,0.009114059802130581
538,2.0190301243274402,2.9342617246772114
549,-0.42072272059154797,3.0
561,-1.0,0.9438456226230524
577,0.1522457769729855,0.5876735480710291
626,0.18616512579675337,0.04232554047909619
634,-0.019365348294881346,0.5775218824926395
646,0.3237042053207337,0.665056743880054
652,0.03826054979026404,0.5864226339067935
674,-0.4154703217464605,3.0
687,-1.0,0.5461880680634045
697,0.7088840640011859,0.2749288805229426
712,0.42751190347439944,0.35418162558038263
731,-1.0,0.5461880680634045
738,0.7992758770342058,0.7886779985627503
751,-0.4154703217464605,3.0
793,1.5044941257081095,1.829399862560072
795,0.4735476362570826,0.8943364454808221
817,0.47385835949311794,0.08079675686762114
833,-1.0,0.7297765427925295
864,1.1869928117230735,3.0
881,0.05769113932263552,1.2342481720628016
897,0.0905913916725269,0.407376240359518
919,-1.0,3.0
940,0.11438784300666315,0.3920545964368096
941,0.5242476307992163,0.7236699290951364
944,0.4084218591228352,0.8199688455750074
950,0.11062382494603279,0.2988908429523061
974,0.18616512579675337,0.04232554047909619
983,0.47385835949311794,0.08079675686762114
985,-1.0,0.9438456226230524
990,0.7786403555114932,0.20680610528020552
999,1.0567949341558596,0.3231204332790299
1006,-1.0,0.5861020686786752
1011,-1.0,1.0310785437447478
1014,0.6487946157568736,1.083858016409599
1019,0.004121306762622612,0.0011596977545133178
1031,-0.18389174354411617,0.3475198223506079
1033,-0.08080143370905665,2.643449471920236
1035,-0.21825360950886777,1.2166641131957014
1041,0.06617687546778762,0.6503309030583115
1047,0.059619803053491016,1.3349194488097886
1048,0.0905913916725269,0.407376240359518
1066,1.814917372011437,1.8072385326531037
1068,1.4539762184416753,3.0
1078,-1.0,3.0
1105,0.5806252872855019,1.0744589929702286
1111,0.32338424881266,0.04616212608241724
1112,0.08869904880622967,0.851927915709362
1114,1.0980232636834086,1.072409138254305
1119,0.16044665693775967,0.4429974083512416
1145,0.30182981322136576,0.12780857015065655
1149,-1.0,0.5646114307879893
1169,-1.0,3.0
1179,0.0011224737762017037,0.34571883571446044
1188,0.3844462222469406,0.016851450189926016
1200,0.9474344994317337,0.8366527599940177
1209,0.2908895290193139,0.9045869496178964
1211,-0.18389174354411617,0.3475198223506079
1212,0.01602693016623336,0.008020587913711939
1227,0.18872705750613616,0.1387921229383208
1238,0.704145447324292,1.5958084260366803
1248,-1.0,0.8673453852842705
1257,0.11958846223766292,1.9268149714005243
1265,0.18616512579675337,0.04232554047909619
1268,0.01602693016623336,0.008020587913711939
1281,-1.0,0.531122602838944
1290,1.341047887801395,1.0285002481376484
