respid,,0,1,2,3,4,5,6,7,8
87,1,-0.016178464370443513,-0.021966588832807162,0.0035548221354389504,-0.01734785508942377,-7.379577088295619e-05,-0.0012767594922274972,0.8918565332093831,0.0,0.0
87,2,0.034383843330876296,0.07319522920684607,0.002955479770638813,0.00291773612354218,0.00047886731663338006,-0.00393770824003159,-7.527623433736993,-0.0,-0.0
87,3,-0.001207195863064947,-0.0007043590301292201,0.0020282176237118588,-0.015857171466876485,9.785669635720139e-05,-0.0017541838367302052,-1.773206127038316,-0.0,-0.0
87,4,-0.016998183097194364,-0.05052428134477704,-0.00853851953031004,0.030287290432584598,-0.0005029282421076253,0.006968651569683181,8.408973027565926,0.0,0.0
87,5,-0.051031061307216234,-0.12180140924189507,0.008379310589834432,-0.02562642472531129,-0.0013841547866211277,-5.2187150434424005e-05,0.0,1.0988644117186475,0.0
87,6,0.02945329101167182,0.10211709479956975,-0.008643530492735696,0.026356323261367273,0.0011600593513572122,0.0019023454367328438,-0.0,-0.6062954257439408,-0.0
87,7,-0.036204182814192354,-0.11222186404313826,0.007947967584076565,-0.027578752788415258,-0.0012009987213068563,-0.0011159205975941333,0.0,0.7638037217233737,0.0
87,8,0.057781953108348987,0.1319061784854636,-0.007683747679787522,0.026848854253747053,0.0014250941565707718,-0.0007342376873165079,-0.0,-1.2563727076980804,-0.0
87,9,-0.021260295096636735,-0.04741173611003124,0.00499686671900923,-0.012969773194662635,-0.0001652679649383204,-0.0013229187887514593,0.0,0.0,1.4099781979912862
87,10,-0.003831427216119398,-0.00170192283772963,-0.0023519994295922997,0.002234164984266096,-0.00023460232922989374,0.0015336469788573834,0.0,0.0,0.8098009633304812
87,11,0.010862022585544915,0.017083272910514702,0.0014275919387601863,0.0040654742815282585,0.0002637665745541806,-0.0012216386333085971,-0.0,-0.0,-1.0777687729941121
87,12,0.014229699726864274,0.03203038603689923,-0.004072459228524061,0.006670133928868282,0.00013610371961403356,0.0010109104432026728,-0.0,-0.0,-1.1420103883276553
94,1,0.001945550737528223,0.03614905460178064,-0.0008995664640271127,0.007456694034804755,0.00040554145701310324,-0.0007936779705675078,-2.286755649969841,-0.0,-0.0
94,2,-0.009386371721542552,-0.06393281737349099,0.0019468948994627586,-0.004291387974142413,-0.0006625655538106123,0.0020126014826926664,5.252896908397638,0.0,0.0
