respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
15612,999.5341708562004,5,1,1,150.0055,0.0,500.0,64,10.0,10.0,1,62,27.0,27.0,1,0,0,0,0,1,1,0,0.0837033588883926,-3.65679078789299,-0.9516614384665198,-1.2365605561273063,0.1159120435616425,-5.243966723546146,-2.6747367566996183,-0.9290800956174236,0.250136884940422,-7.756374755918077,-5.46511711430776,-4.133492234699486,0.0774872295656402,-3.7313739235582335,-0.9475816532017656,-1.3325071911868531,0.1007193644148594,-4.584899297738959,-1.926159176022007,-0.518793399910286,0.1560905679614133,-5.275688733728746,-3.13858971554406,-2.082069756425957,-0.9281521338150296,-1.470970027271038,0,0.0,1.0,1.0,430.0,1075.0,430.0,1075.0,2.124,2.556,2.556,1.704,0.04,0.08,0.02,0.06,12.72,47.676,31.788,95.364,24.0,48.0,24.0,48.0,75.0,150.0,75.0,150.0,0.1,0.1,0.1,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.031151990632324,64.06230398126465,2.1646502144932884,3.3744944371027596,5.753697696170352,0.0358802014094379,0.0857260427109676,509.9286737055783,422.6128282999276,369.5442858619088,384.9197937339914,413.1506860657262,482.8028643082357,420.99840090154794,422.0936411053502,419.7769860499513,424.19508363017275,395.59762411990414,349.1672058302578,403.94630858246796,363.63078343485034
15620,999.5341708562004,4,0,1,420.0,0.0,390.0,62,7.2,7.2,1,,,,,0,1,0,0,0,0,0,0.071069673441584,-3.22092066662284,-0.5476470207253941,-0.7706162698075683,0.1100733079655282,-4.888586300635251,-2.3928983455103805,-0.7701241907509446,0.2023243335786972,-6.112579420946544,-3.938857169390945,-2.6581064844800064,,,,,,,,,,,,,-0.8588482698444958,,0,,1.0,1.0,104.0,260.0,104.0,260.0,2.124,2.556,2.556,1.704,0.02,0.04,0.06,0.08,2.916,10.956,8.76,18.264,24.0,48.0,24.0,48.0,58.5,117.0,58.5,117.0,0.4,0.2,0.2,0.4,0.4,0.1,0.1,0.4,0.25,0.1,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.030374370190118,0.0813404307523295,540.3203242905112,273.68446514197456,266.11595012088736,258.78362566114083,276.65367911782835,280.9570510844582,270.27734232247786,270.90622290160724,269.6590194661181,273.9390972650608,264.38349895530916,254.60577281063914,255.57304443372527,245.04254671599398
15626,4230.715283026676,1,0,1,332.3850296320441,0.0,1100.843389295321,63,98.08856714800001,62.88818997545278,1,,,,,0,1,1,0,0,0,0,0.0832589310746204,-3.4660936581519683,-0.6723352212716207,-0.8802795082399782,0.1075739133288385,-4.903901533675644,-2.21859344801729,-0.5909586899739702,0.2550130224845138,-7.760595987490117,-5.324370607684814,-4.1065523359627845,,,,,,,,,,,,,-2.5788364084854987,,0,,1.0,1.0,105.0,262.5,105.0,262.5,1.272,4.248,2.556,1.704,0.08,0.02,0.04,0.06,3.024,22.68,7.5600000000000005,11.34,24.0,48.0,24.0,48.0,60.0,120.0,60.0,120.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,466.4884341800142,461.0561656860524,477.9783046139663,468.5005273685106,459.0784870767986,466.2737030216497,463.2480796387198,464.2007440438061,467.3917349911062,442.66160938876243,455.051210682502,455.6576287562875,439.2701331372081
15633,1278.4983244321725,1,0,1,85.0,0.0,950.0,68,76.03813507405391,76.03813507405391,1,,,,,1,1,1,0,0,0,0,0.0857693811139702,-3.815760031559017,-1.1129154315160386,-1.2293983411517515,0.111586857153439,-5.263416672344394,-2.6098503947067537,-0.8168830702726709,0.2747343506464342,-8.399941340921254,-6.061238648604824,-4.700907273691568,,,,,,,,,,,,,-0.7895335172543944,,0,,1.0,1.0,17.0,42.5,17.0,42.5,3.336,2.22,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,1.68,1.4040000000000001,1.4040000000000001,2.1,24.0,48.0,24.0,48.0,190.0,380.0,190.0,380.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,378.22647891995655,378.4833691250941,374.5408063860828,378.1339860872186,375.4606989165651,374.4035551368298,376.9217663646499,375.17176677234147,375.3647670766503,367.00761249577454,355.3851648683322,372.4086913288378,363.4605622285692
15636,1278.4983244321725,1,0,1,363.12371552816956,0.0,900.0,68,52.01597928021212,52.01597928021212,1,,,,,0,1,0,0,1,1,1,0.0842221202654534,-3.75143356682881,-1.0448510369889683,-1.2219025707590097,0.114249908390477,-5.331239520239719,-2.688201416917668,-0.92228057859012,0.2681980545038631,-8.172743639659855,-5.939605230918578,-4.509551393325182,,,,,,,,,,,,,-2.387578746492173,,0,,1.0,1.0,113.0,282.5,113.0,282.5,1.116,3.336,2.7840000000000003,6.672,0.02,0.06,0.04,0.08,5.5920000000000005,23.316,3.732,27.984,24.0,48.0,24.0,48.0,180.0,360.0,180.0,360.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,390.5544195969019,388.10960908127777,395.9097069868365,385.12109999186833,403.44927022735806,390.4224729421596,388.5747499039373,387.79873140575813,383.25827973600104,380.5075168298176,367.5871972214839,373.9500915271974,359.3002606144914
15657,1321.982893522959,2,0,1,330.0,0.0,900.0,63,49.53598262427363,49.53598262427363,2,,,,,0,0,0,0,1,0,0,0.0260842114555871,-1.5448064540215216,1.107102025613682,1.5384701869461552,0.0511827256434967,-3.003782078055218,-0.4372280062028486,1.7746717732876354,0.1561275549839112,-5.193749285233602,-2.56808710231528,-0.6024744267982054,,,,,,,,,,,,,0.6695001512101937,,0,,1.0,1.0,66.0,165.0,66.0,165.0,2.124,5.1000000000000005,0.852,2.556,0.04,0.08,0.02,0.06,1.8960000000000001,14.256,2.856,11.88,24.0,48.0,24.0,48.0,135.0,270.0,135.0,270.0,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,157.67954497365972,155.26357247439637,157.40848089695757,155.81034307928178,156.06244403684423,157.75903333543073,157.32336508128654,158.4552021775958,158.70232408862333,152.87107373041684,148.79057447283964,154.31226400592087,150.74641774460525
15658,897.8346892314378,1,1,1,260.0,315.0,1000.0,66,137.4990594444549,68.90023994244984,1,67,49.61306268614352,53.589075510794316,2,1,1,0,0,1,0,1,0.0941017458294595,-3.927185871122791,-1.3574779747215222,-1.4453977195365038,0.1193773594021452,-4.742936414513345,-2.2949768841616023,-0.6890767579252292,0.2270473282738597,-6.027533064654576,-3.959543697528496,-2.529514234789436,0.1057761219457629,-2.7967293086900065,-0.2209414362558359,-0.3093326884063964,0.1516176551026182,-4.063030763590457,-1.594824504467365,0.531965542134503,0.2759055636348128,-7.791446295236176,-5.095359139856745,-3.232122292535116,0.3970262918920648,1.6257649783009664,0,0.0,1.0,1.0,52.0,130.0,52.0,130.0,0.972,2.928,2.928,4.884,0.02,0.08,0.06,0.04,1.752,6.5760000000000005,4.392,13.164,24.0,48.0,24.0,48.0,137.0,274.0,137.0,274.0,0.01,0.01,0.25,0.25,0.5,0.25,0.01,0.1,0.5,0.01,0.2,0.5,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,325.31945258606953,322.7278018763189,320.7003983552263,325.07499624899833,326.5302712161563,325.0296588122685,323.7391075170567,323.20236702452195,321.92268793343356,325.31945258606953,325.31945258606953,325.31945258606953,325.31945258606953
15660,1278.4983244321725,1,1,1,23.424228412841803,0.0,618.7664613460096,70,6.799974355183755,6.799974355183755,1,70,5.99997737222096,5.99997737222096,1,1,1,1,1,0,0,0,0.0824961699041326,-3.4910639600929025,-0.8257597534237907,-1.0473933274921725,0.1098415351244106,-4.991165515262286,-2.4201343079620763,-0.6513426921788783,0.2716742634999006,-7.810792965572443,-5.467292992069743,-4.035473243125269,0.0606330777768743,-3.681072221361728,-1.089117040749688,-1.2410212185234897,0.0905989804380209,-4.753187026022243,-2.1406972548354672,-0.3434815813944559,0.1552949213391104,-5.643235952751592,-3.638952847043833,-2.134590822368503,-2.8813281081811346,,0,1.0,1.0,1.0,15.0,37.5,15.0,37.5,2.7840000000000003,6.672,1.116,3.336,0.04,0.06,0.08,0.02,1.548,1.932,1.296,1.296,24.0,48.0,24.0,48.0,80.0,160.0,80.0,160.0,0.1,0.01,0.1,0.1,0.1,0.01,0.25,0.2,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,246.33130783835827,243.40064986677203,240.8489621521644,243.25360527564766,240.49666056673462,246.3192715996116,245.06582289725102,247.30515346354727,247.28618530364528,242.5287598685365,242.75611983492038,239.48950389675474,245.32590335355405
15663,4942.474513256949,1,1,1,260.0,400.0,1500.0,69,62.79996353793977,62.79996353793977,1,68,49.57891858258402,49.57891858258402,1,0,1,1,0,1,0,1,0.0874625128275464,-3.3249784558841,-0.6336068016842904,-1.002156968011086,0.1172601920093393,-4.129313082799605,-1.5464294719164235,-0.2362133675692449,0.2611743698241343,-6.205502952426815,-3.756097431936406,-2.668722822020092,0.0794482949500665,-3.4410692987011675,-0.7280882688547944,-0.8628897373330563,0.1047032215004869,-4.890906333728464,-2.16332091407016,-0.4032644376392094,0.212440042549784,-7.567027842690804,-5.092632368376914,-3.747522239559852,-1.760187542731804,0.5105588486461016,0,0.0,1.0,1.0,172.0,430.0,172.0,430.0,2.436,5.856,0.972,2.928,0.06,0.08,0.02,0.04,19.2,24.0,15.996,15.996,24.0,48.0,24.0,48.0,220.0,440.0,220.0,440.0,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.25,0.01,0.01,0.01,0.25,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,440.9774828369864,444.50487565152724,413.9525803717008,441.03385626988523,404.36747420497215,442.0307993255206,441.6995417382568,443.55664503350243,444.82522256630466,440.9774828369864,467.4146640872879,440.9774828369864,471.2192950963866
15672,688.7628253365825,5,1,1,530.0,0.0,1600.0,61,163.80126986842103,119.03707846897885,1,60,85.17666033157894,44.63890442586706,1,0,1,0,0,1,0,1,0.0819977548345589,-4.251966417163952,-1.547446885337206,-1.8123212897099248,0.1105914163983353,-5.187104166541723,-2.6114399179615195,-1.067306994097024,0.2047870924081208,-6.459666745572883,-4.355211504465448,-3.122380819712808,0.0743460089365012,-3.4552950772542266,-0.7837447458133971,-0.9878437881199128,0.100687076717951,-4.974404944378006,-2.3580974839171427,-0.5564338698207949,0.1904750861448623,-6.757751446004995,-4.494713483190823,-3.162215759218554,-2.7716978671776245,-2.269654673188333,0,0.0,1.0,1.0,226.0,565.0,226.0,565.0,1.836,2.208,0.732,4.416,0.06,0.08,0.02,0.04,6.66,41.628,9.996,49.956,24.0,48.0,24.0,48.0,240.0,480.0,240.0,480.0,0.01,0.5,0.25,0.8,0.3,0.5,0.8,0.5,0.01,0.01,0.2,0.01,0.0,32.031151990632324,64.06230398126465,2.1646502144932884,3.3744944371027596,5.753697696170352,0.0358802014094379,0.0857260427109676,509.9286737055783,1018.4609439853635,1011.4584385073377,1030.1902437890672,1015.56192507391,1039.9464478122381,1017.7017626686018,1018.7220328517213,1019.0761697234801,1015.8958387686729,939.4759417303966,839.2314427442329,981.4927766596986,926.1899597916837
