respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
13138,1321.982893522959,9,1,1,175.0,0.0,269.0,68,12.799788071064476,12.799788071064476,1,69,0.0,0.0,1,0,1,1,0,0,0,0,0.085439088621796,-3.7570169831128775,-1.0262712788511077,-1.4261458473057391,0.1033535470763093,-5.068883000451155,-2.469275358372499,-1.0045554057109702,0.2703719668413618,-8.541475337058792,-6.174895823301453,-5.105800688865054,0.08198705288098,-4.129989783465035,-1.5403672014696248,-1.921062138879688,0.1176561632575035,-5.303114460563464,-2.7868597390848664,-1.4046146232845207,0.2239474087987461,-6.508089310643525,-4.551861893647503,-3.465039697440491,-2.0974530673705942,-2.261675072680002,0,0.0,-1.0,1.5,59.0,147.5,59.0,147.5,0.834,1.3920000000000001,0.279,0.834,0.01,0.015,0.02,0.005,0.732,3.654,1.218,1.218,24.0,48.0,24.0,48.0,53.800000000000004,107.60000000000001,53.800000000000004,107.60000000000001,0.2,0.01,0.05,0.01,0.1,0.05,0.01,0.01,0.7,0.2,0.05,0.05,0.0,31.207843260188085,62.41568652037617,2.5829861998215877,4.986204803302457,8.364567309034976,0.0256857908664062,0.0390059031342407,408.1596769784491,123.69874128919314,114.12981445715619,103.92564624205842,115.28807958095531,99.64966625149711,124.3179262301212,125.01325772422284,125.4348374842598,126.23450612954247,122.21594638515815,125.76101156376285,121.45895934580464,126.54476224318121
13170,3306.360982332038,2,1,1,160.0,0.0,249.0,70,45.4933090539653,45.4933090539653,1,68,13.12306991941307,13.12306991941307,1,0,1,0,1,0,0,0,0.068388556000391,-3.4576397487913706,-0.7808856588183599,-1.0502962151301538,0.1082075252776283,-4.692248263342673,-2.210714022296309,-0.8379164049341231,0.2483427306777536,-7.043540015754651,-4.80974059617567,-3.755499333095647,0.0867245106138791,-2.908532090985963,-0.2269068413562942,-0.5645580162804369,0.1229795297304289,-4.4535936997846415,-1.9153314972893427,-0.4726005419518956,0.2449315977056507,-6.991170113380811,-4.537343938159624,-3.4482247244124,-3.072638126857262,-2.981617860170899,0,0.0,1.1931498081728074,0.2690008335556461,52.0,130.0,52.0,130.0,0.732,0.732,0.243,1.221,0.02,0.01,0.005,0.015,0.732,3.6630000000000003,0.489,3.0540000000000003,24.0,48.0,24.0,48.0,49.800000000000004,99.60000000000001,49.800000000000004,99.60000000000001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,146.84881466622812,141.5510954385988,132.8074324255004,141.19157902006873,131.82633224856977,149.8534190971472,153.63171790108956,150.6276851027068,152.84826222385135,149.46644964312887,153.8172474528399,150.15666100031993,153.4808730358675
13230,3306.360982332038,2,1,1,425.0,150.0,450.0,69,51.503111064722916,37.67214170417323,1,64,16.88626592285997,13.782490867380451,1,0,1,1,0,0,0,0,0.07696943837309,-3.942020184727488,-1.2479098553585168,-1.6703048140999797,0.1013878633860704,-4.770567430217229,-2.210644537865436,-0.8524674240545366,0.2467162377628764,-7.561018758904721,-5.350348662726819,-4.235990708241349,0.0760253130995248,-3.27681991465042,-0.6092674556790315,-0.797540627257832,0.1054145472994018,-4.760257805925601,-2.272839897424216,-0.6056278367736945,0.2181204466935531,-7.3765628766308415,-5.057718775527179,-3.853613161858712,-1.0251480645608717,-0.6641954230882823,0,0.0,-1.0,1.5,85.0,212.5,85.0,212.5,0.609,1.464,0.366,0.489,0.015,0.01,0.02,0.005,0.792,4.941,2.373,2.964,24.0,48.0,24.0,48.0,60.0,120.0,60.0,120.0,0.01,0.01,0.1,0.01,0.05,0.05,0.25,0.3,0.1,0.1,0.05,0.7,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,262.2014085644011,248.97076975720842,235.13668202321,252.69390546263946,230.38591577537855,264.5606192165196,266.2859922122269,265.14323052559547,268.6449266423922,258.1340071029585,264.9949836968887,257.6102912886721,265.3619300942483
13338,3306.360982332038,2,1,1,115.0055,0.0,650.0,62,83.81832911063022,39.66125951604781,1,60,83.81832911063022,90.13922617283592,1,0,1,1,0,1,1,0,0.0798589775072365,-3.952970801161293,-1.3180664685188346,-1.5375880463011966,0.0994945772827022,-4.679311250805421,-2.165409056484542,-0.6002786158475503,0.1993147192690877,-6.312797730420519,-4.208087245066929,-3.023606284431716,0.073635842707141,-3.1357175172216083,-0.4160277662100434,-0.6552152806538202,0.1028909347719085,-4.385487471890895,-1.7661432577694391,-0.152736873721088,0.1977347062537073,-6.458138214731942,-4.185657078766248,-2.9006161961972183,-2.0831610502768183,-1.9416872856019345,0,0.0,0.1914129221506852,0.8342274632402694,231.0,577.5,231.0,577.5,0.552,0.921,0.183,0.552,0.005,0.015,0.02,0.01,5.25,6.564,4.374,4.374,24.0,48.0,24.0,48.0,97.5,195.0,97.5,195.0,0.01,0.01,0.01,0.01,0.05,0.02,0.2,0.1,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,604.0100426258908,573.4463797054239,495.63384683250297,570.7653323519024,488.75936220941907,606.6056845705649,609.5842406268919,607.7508060607927,610.7186097260884,601.8322160592135,607.1115068753097,597.228337338879,608.5961945916891
13356,967.2736886617232,2,1,1,455.0,71.85000000000001,380.0,66,62.285900514288414,62.285900514288414,1,66,8.177089838652158,8.177089838652158,1,0,1,1,1,1,0,1,0.0817400933767435,-3.741448580813545,-1.097815416657885,-1.385976186986962,0.1113050298146568,-4.680202827698367,-2.098174784706704,-0.6852702058440816,0.2305334887955533,-6.655460855622827,-4.491071637796191,-3.263052859876606,0.0942525758340246,-3.256837055834845,-0.507328119281612,-0.7427047134481793,0.1221113833397929,-4.541478753737403,-1.9096401190964103,-0.3703336170815708,0.2561934943891508,-7.707404342204761,-5.210804085622927,-4.02873514642575,-0.3300547207145844,-1.0532170049120968,0,0.0,0.0693116914181744,0.044825877397591,100.0,250.0,100.0,250.0,0.732,1.221,0.366,0.489,0.015,0.005,0.02,0.01,2.532,5.271,1.266,2.109,24.0,48.0,24.0,48.0,61.63,123.26,61.63,123.26,0.3,0.25,0.2,0.09,0.5,0.1,0.5,0.4,0.05,0.01,0.05,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,263.85684160131916,252.0178809570798,231.45187187436207,249.6921400785614,225.57214107622872,264.9402991212742,266.209418485012,265.63356399270486,267.60094732489847,268.9425684380013,276.0241481066417,268.64461420757374,275.5470711578307
13432,967.2736886617232,2,1,1,10.0,0.0,600.0,62,61.16319780113657,28.29162884186761,1,60,16.310186080303083,18.86108589457841,1,1,1,1,1,0,0,0,0.0695338371750938,-4.033175070492556,-1.2286632541179383,-1.578810449894526,0.0990651161812935,-4.959748365174023,-2.249458022736026,-0.8568216160424663,0.2066650481782225,-6.618152732432638,-4.545580873393459,-3.325312580923527,0.074246039760379,-3.456342212784313,-0.7642273697335776,-0.9527118066597746,0.0969917972577758,-4.9075907435950725,-2.33677291614654,-0.5669743748033107,0.1960193066925825,-6.952579847151935,-4.682895413263306,-3.4323443174068453,,,1,1.0,0.3233875723962284,0.0461586461562058,2.0,5.0,2.0,5.0,0.183,1.104,0.459,0.552,0.005,0.02,0.01,0.015,0.015,0.057,0.045,0.096,24.0,48.0,24.0,48.0,90.0,180.0,90.0,180.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,249.23780716307857,248.82729992514544,248.26130319250836,248.91195871294377,248.37932240873707,251.13125798292293,250.34609713175377,250.3102273950015,251.9872788473395,256.8712622837355,263.78388526454785,256.1625603678075,265.3272688269137
13459,967.2736886617232,2,1,1,125.0055,0.0,400.0,65,62.042070291873095,62.042070291873095,1,61,5.790593227241489,5.790593227241489,1,0,0,1,0,0,0,0,0.0832077458251591,-4.126904072241427,-1.4806541330530214,-1.7699020047697764,0.1099499805943087,-5.197788551093082,-2.576595091836268,-1.1618738691500323,0.2302900918669856,-7.088909924509415,-4.993367967654421,-3.856730523594668,0.0764504937763843,-3.3153700543241795,-0.5817092448700041,-0.7074212428445922,0.1074603897154884,-4.898031933811457,-2.233973697922328,-0.552212059666914,0.2186215436767852,-7.438538734319565,-5.051777154684482,-3.732684804169781,-1.0994146826866136,-0.6538723159131163,0,0.0,0.3233875723962284,0.0461586461562058,205.0,512.5,205.0,512.5,0.609,1.464,0.366,0.489,0.015,0.005,0.02,0.01,4.2,4.2,5.04,6.3,24.0,48.0,24.0,48.0,80.0,160.0,80.0,160.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,281.0485631875659,250.62903877101022,172.35635206431797,252.9313750045197,178.65318393231254,282.1793392666476,282.40909049239235,282.85821664550235,285.14173547787817,288.2923177786899,299.31184915352134,287.71305839794263,298.5593559052234
13534,1321.982893522959,2,0,1,100.10000000000001,37.0,280.0,62,100.44463052582498,89.12621553688189,1,,,,,0,1,1,1,0,0,0,0.0776504643474299,-3.343934960758601,-0.6773829837887713,-0.9478875781431808,0.1140164039713588,-5.057456283853151,-2.56737204488298,-0.9192755487193296,0.2296475927685561,-6.936105169133716,-4.703758212331183,-3.4830145220049946,,,,,,,,,,,,,-2.0792950186272896,,0,,0.4088072913785954,0.5934807518247321,20.02,50.050000000000004,20.02,50.050000000000004,0.213,1.2750000000000001,0.531,0.639,0.015,0.005,0.01,0.02,0.21,0.35100000000000003,0.35100000000000003,1.053,24.0,48.0,24.0,48.0,36.45,72.9,36.45,72.9,0.01,0.01,0.01,0.01,0.3,0.3,0.1,0.3,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,247.6448385327648,245.27133715379279,241.17898194605792,245.55131502900662,242.5748219591508,248.95259194793678,248.34197176474336,248.29806517296774,249.64628183540532,249.06658598215645,252.25021786804268,249.29471576701602,251.23383404983304
13570,1321.982893522959,2,0,1,230.0,13.0,2000.0,63,36.06739994236137,36.06739994236137,1,,,,,0,0,1,0,0,0,0,0.0800018974891865,-3.626540250438357,-0.8966311579147218,-1.16855987518224,0.1089978407435095,-5.234787493260767,-2.596203134303897,-0.9816688352279894,0.2519963219328813,-7.999840344529018,-5.704761314910292,-4.48444888727307,,,,,,,,,,,,,,,1,,0.5913292157132893,0.3724927322847638,54.0,135.0,54.0,135.0,0.318,1.2750000000000001,0.213,1.062,0.02,0.015,0.01,0.005,1.167,0.972,0.972,1.458,24.0,48.0,24.0,48.0,298.05,596.1,298.05,596.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,360.0524023800771,351.43108165762555,335.1720307919021,351.1102548445705,335.98423324086366,360.2896295214083,359.23456897542394,360.50396032810806,359.66961414584017,355.712786733521,378.238454479681,359.1388870050355,384.89303218634956
13596,1321.982893522959,9,1,1,220.0,280.0,1400.0,62,178.57610365270997,201.90544170636426,1,60,176.51674166659964,19.957704287284766,1,1,1,0,0,1,0,1,0.077392420930822,-3.1500470357892043,-0.4527014677729095,-0.6424320579636582,0.1077431856421998,-4.562401602213178,-2.0665683114212112,-0.3647815592981087,0.2318253990637566,-6.912451976541439,-4.643253952930419,-3.369345712054391,0.0788865362707629,-4.191342627250133,-1.485270584166237,-1.8227545659256712,0.1006133671852664,-4.987501255146215,-2.456093081335489,-0.9818157738521875,0.18434322153465,-5.934153367915402,-3.9892896787942713,-2.854933312631442,0.9171086070600196,-1.3088734896901657,0,0.0,-0.502291097784752,1.5,84.0,210.0,84.0,210.0,0.213,1.062,0.639,0.639,0.01,0.005,0.015,0.02,1.476,4.425,0.885,1.476,24.0,48.0,24.0,48.0,168.0,336.0,168.0,336.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,31.207843260188085,62.41568652037617,2.5829861998215877,4.986204803302457,8.364567309034976,0.0256857908664062,0.0390059031342407,408.1596769784491,800.7922571817585,791.7186887010497,778.8149314689007,790.5470239695314,772.9237305281365,802.5936186363427,803.0561524861013,801.7289590564203,803.9145169293153,758.3164601509509,753.6955132414489,753.6565999849984,740.0633535426814
