respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
8196,580.936724934376,8,1,1,340.0,0.0,475.0,67,85.44106135138333,85.44106135138333,1,65,113.57295746987867,113.57295746987867,1,0,1,1,0,1,1,0,0.0668192971883992,-3.867758524489618,-1.294339011976496,-1.6856562856418198,0.0893274202003147,-4.816907935218718,-2.234647365487077,-0.6870085571974764,0.1513783823640471,-5.050087614196813,-3.240872316120943,-1.9213554396208217,0.0708049665194621,-3.457542469421416,-0.7361445230630458,-0.8614863134282401,0.0985697776531938,-4.909317469061716,-2.391179556477588,-0.4557491218106018,0.1965870578362903,-6.93519213525085,-4.71241080038588,-3.2401858508962427,0.0,0.0,0,0.0,1.0,1.0,68.0,170.0,68.0,170.0,0.972,5.856,1.464,4.884,0.08,0.06,0.02,0.04,2.364,14.784,3.552,17.748,24.0,48.0,24.0,48.0,95.0,190.0,95.0,190.0,0.01,0.75,0.5,0.9,0.5,0.01,0.4,0.01,0.01,0.01,0.5,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0,0.0,664.7986287229243,542.4017677118936,540.0790184073624,544.4582554906632,541.1562525905978,547.0884395110204,542.3196521061697,538.5277344985947,541.8607431416201,539.4428258550355,543.8079294491395,549.2251094141959,545.8257662009376,549.6902498678814
8204,688.7628253365825,5,1,1,100.0,0.0,400.0,62,63.52045546187008,63.52045546187008,1,61,20.0132941866166,20.0132941866166,1,0,0,1,1,0,0,0,0.0806329608227605,-4.016949164772518,-1.442918381459591,-1.650910423312097,0.1028319472375887,-4.884512089206664,-2.3175885794913444,-0.8626979610194822,0.1744961143701199,-5.319627363354978,-3.402512168143815,-2.148960259409355,0.0680916673253624,-3.172953783054101,-0.4995345629179321,-0.6160754477973044,0.1071651814565646,-4.922051313722895,-2.4445763340808258,-0.4817415380331363,0.1696178795589972,-5.800655785071597,-3.7034249534574273,-2.105231879845742,0.0,0.0,0,0.0,1.0,1.0,28.0,70.0,28.0,70.0,2.208,1.476,1.104,3.684,0.08,0.02,0.06,0.04,1.272,6.36,0.852,5.304,24.0,48.0,24.0,48.0,60.0,120.0,60.0,120.0,0.01,0.01,0.01,0.01,0.01,0.5,0.2,0.01,0.01,0.01,0.01,0.01,0.0,32.031151990632324,64.06230398126465,2.1646502144932884,3.3744944371027596,5.753697696170352,0.0,0.0,509.9286737055783,363.6448076055879,362.5227912044104,365.2241954661182,361.86027093207184,363.6000099443671,361.1854746772628,363.4358165992756,363.0104312443741,359.7761250956002,361.42578160360927,368.80992349685044,362.8518366898755,366.8705284136392
8206,880.8996211331786,8,0,1,81.3415173436752,0.0,172.70437118187365,63,28.428708533710573,28.428708533710573,1,,,,,0,1,1,1,0,0,0,0.0771324616956078,-3.378139685733508,-0.6622039509952204,-0.8406957915757023,0.1107751779595332,-5.114399649216394,-2.5234109213915232,-0.8413278915328886,0.2420374908975093,-7.484084021158243,-5.13753325954441,-3.8898594910311486,,,,,,,,,,,,,0.0,0.0,0,,1.0,1.0,39.0,97.5,39.0,97.5,2.124,1.704,2.556,2.556,0.08,0.06,0.04,0.02,1.68,8.424,1.1280000000000001,7.0200000000000005,24.0,48.0,24.0,48.0,60.0,120.0,60.0,120.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0,0.0,664.7986287229243,192.60542574777443,185.00046665216365,186.56929599880561,184.07706508300117,183.70685632940285,188.27794003540365,189.9409292739121,187.30446225025943,187.98683428534687,196.22178526305345,202.7437319269151,196.48351080548176,202.80583490482132
8224,1666.0411339049424,3,1,1,100.0055,0.0,2000.0,68,92.77145088610287,92.77145088610287,1,70,63.78784762258901,63.78784762258901,1,0,1,1,0,0,0,0,0.0810286536531797,-3.593590578707752,-0.9002609321832509,-1.1574889231529566,0.1049778831157569,-5.051094926835463,-2.5353437385145696,-0.8420697825532463,0.2442273419729213,-7.634587143857196,-5.436616131076121,-4.203209289288052,0.0626541679720974,-3.705197578378507,-1.09314743381742,-1.264618342202482,0.0940890003371076,-4.834032429724369,-2.394740770371237,-0.7376177408519083,0.15659668294877,-5.40153746048312,-3.5322928620941947,-2.2263351581495603,0.0,0.0,0,0.0,1.0,1.0,270.0,675.0,270.0,675.0,2.7840000000000003,3.336,3.336,2.22,0.08,0.04,0.02,0.06,8.916,33.432,22.284,66.864,24.0,48.0,24.0,48.0,420.0,840.0,420.0,840.0,0.01,0.25,0.4,0.75,0.4,0.75,0.4,0.8,0.1,0.6,0.9,0.4,0.0,41.06251804330393,82.12503608660786,2.8161376072168003,5.255545847748535,8.073122529569831,0.0,0.0,1144.9093087627477,543.4379007905277,523.1580539520729,509.1035554099285,538.4520277279428,551.0496918047155,541.1609063032178,541.4736847249421,540.5190551714012,542.7714091945502,538.2630228108553,569.2446027678138,554.9763111527766,567.93852583924
8226,999.5341708562004,4,1,1,490.0,0.0,650.0,65,40.3237358281632,40.3237358281632,1,65,109.28862981464795,109.28862981464795,1,0,0,0,0,0,0,0,0.0823210764131417,-3.4279899199076054,-0.7712734384066137,-0.9436323255060484,0.1214057328307468,-5.18536019608609,-2.705353636410248,-1.032739113514757,0.2518157907458312,-7.336273459875633,-5.027472044685902,-3.7013824282803376,0.0754822603527979,-4.188060681683685,-1.5793635605720928,-1.9062989442816207,0.1014590060317726,-5.026577576105968,-2.57990046032564,-0.8992204508683156,0.1621773568013625,-5.943753078735628,-3.977587087695472,-2.703052352087884,0.0,0.0,0,0.0,1.0,1.0,98.0,245.0,98.0,245.0,1.668,5.5680000000000005,3.336,2.22,0.08,0.02,0.04,0.06,8.904,11.124,2.964,18.54,24.0,48.0,24.0,48.0,130.0,260.0,130.0,260.0,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.0,0.0,540.3203242905112,535.3152672755804,538.186524612209,529.4264628727981,531.3153993564109,538.1621778221927,534.4209066597537,530.8373733338608,532.4533585467136,534.7933745626117,534.06871386105,545.3135651508334,537.5205928831922,542.7577792230758
8231,3306.360982332038,2,1,1,200.0,90.0,325.0,60,58.88739336002494,35.21243786848437,1,60,31.4066097920133,22.00777366780273,1,1,1,1,1,0,0,0,0.0721224128896011,-3.637644166705162,-0.944137146653658,-1.195206512154296,0.1032699340774172,-4.615948921611813,-2.0804114157077125,-0.6340188928179014,0.1912559957341709,-5.779933040488766,-3.6728410085983456,-2.57764597031366,0.07271534543857,-2.415683051968668,0.2161716580507948,-0.0139500367381471,0.1066351449591846,-3.7696427559102377,-1.231636303298539,0.3024109761295651,0.1996135968216321,-5.713528191908995,-3.393060256391679,-2.1992609451182874,0.0,0.0,0,0.0,1.0,1.0,80.0,200.0,80.0,200.0,0.732,3.684,2.208,2.208,0.04,0.08,0.02,0.06,6.9,14.376,2.3040000000000003,8.628,24.0,48.0,24.0,48.0,35.25,70.5,35.25,70.5,0.5,0.01,0.01,0.01,0.76,0.01,0.01,0.01,0.75,0.01,0.75,0.01,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0,0.0,458.263575575476,312.25616715994653,316.7732734057843,319.8607224472103,307.55697281281095,308.0440175447553,312.2988368023511,307.84342013367046,309.35230336570044,310.77288758001356,312.25616715994653,312.25616715994653,312.25616715994653,312.25616715994653
8232,999.5341708562004,4,0,1,50.0055,0.0,600.0,68,5.0,5.0,1,,,,,0,1,0,0,1,1,1,0.0889161750829114,-3.806490678470181,-1.058724289567901,-1.4160743090237484,0.1142705463993781,-5.20841935650728,-2.657413730546024,-1.034757842676356,0.2739800020325209,-8.374509961499674,-5.98592908748757,-4.830503791305035,,,,,,,,,,,,,0.0,0.0,0,,1.0,1.0,130.0,325.0,130.0,325.0,2.7840000000000003,3.336,3.336,2.22,0.08,0.02,0.06,0.04,6.444,32.196,10.728,10.728,24.0,48.0,24.0,48.0,120.0,240.0,120.0,240.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.0,0.0,540.3203242905112,191.72077071208844,178.72810446187754,175.92675036471056,180.37727382155842,158.04759575317294,190.46862594149263,190.34937585076582,190.19879291122524,190.93245362533634,189.42853343550289,198.85880671480245,189.92023706000853,196.05266270092147
8234,3717.121450519956,8,1,1,420.0,0.0,450.0,68,63.410868205706684,63.410868205706684,1,64,6.080494211506121,6.080494211506121,1,0,0,1,0,0,0,0,0.0826717756891838,-4.090222191945763,-1.3714665285151997,-1.6328325997607611,0.1088368119474866,-4.854253078257035,-2.2462215166700856,-0.7902910329911197,0.2335432446553334,-7.0048912922646505,-4.836800748776593,-3.64871634345094,0.0873742478719873,-3.5072812235940063,-0.7758933429767952,-0.986832493324862,0.109347665638891,-4.799118693688253,-2.18636037739272,-0.5223139748141555,0.226731833570485,-7.485028587972464,-5.0661238695512,-3.8339693102469794,0.0,0.0,0,0.0,1.0,1.0,84.0,210.0,84.0,210.0,1.464,1.956,2.436,5.856,0.06,0.02,0.08,0.04,4.524,7.5360000000000005,9.048,18.852,24.0,48.0,24.0,48.0,90.0,180.0,90.0,180.0,0.1,0.1,0.2,0.2,0.25,0.5,0.05,0.01,0.01,0.25,0.01,0.2,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0,0.0,664.7986287229243,363.5344400468824,361.8567667106917,353.46768658139194,368.4520929170644,370.04280592388415,363.48718058228394,364.72491486142803,362.0420956797771,358.90348740981335,362.7668129603239,371.3788563277385,360.87293482868887,368.84870572065296
8249,6357.119592832336,4,1,1,510.0,0.0,500.0,70,19.757745410278392,19.757745410278392,1,64,11.97439115774448,11.97439115774448,1,0,1,0,0,0,0,0,0.0889104153861192,-3.236748867353516,-0.5914754772534372,-1.004303287828455,0.1342004126737253,-4.770880377138856,-2.199823892177234,-0.8148950370949142,0.284789355815423,-7.446045570719634,-4.991135184958153,-3.813751108945259,0.0859028071512829,-3.810461839753348,-1.1608136113373573,-1.2775260170004823,0.1091288059935555,-4.348932107929001,-1.790314475028591,-0.2658736190261774,0.1416012636270035,-4.599284199195268,-2.518745885835312,-1.184929657097359,0.0,0.0,0,0.0,1.0,1.0,102.0,255.0,102.0,255.0,2.7840000000000003,3.336,3.336,2.22,0.08,0.02,0.06,0.04,3.504,13.164,10.524000000000001,21.936,24.0,48.0,24.0,48.0,100.0,200.0,100.0,200.0,0.01,0.01,0.01,0.01,0.25,0.25,0.02,0.25,0.01,0.01,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.0,0.0,540.3203242905112,277.8099787163554,269.5421294298688,259.44397501278127,275.2304733163802,268.98886555136716,276.65092728558756,277.5280907667012,276.20629296218283,278.44836324589363,274.02112227742396,281.63564077457033,275.32408377651655,279.42770309484814
8258,1666.0411339049424,3,1,1,204.29279826215557,0.0,1500.0,69,63.01232516135934,63.01232516135934,1,70,0.0,0.0,1,0,0,0,1,0,0,0,0.0645401539514318,-3.251254872356683,-0.5523190792852205,-0.7260131585781442,0.0955869242357876,-4.979895037639489,-2.334358368863895,-0.5388314915675538,0.2206088388025035,-7.044456334008459,-4.8655511223917225,-3.547766662653844,0.0661617902705721,-4.007837710240183,-1.2099671577359583,-1.4445230845840331,0.0842474317420013,-4.779134411660785,-2.177802641837044,-0.3545466325470822,0.1783427988744624,-6.405962336945578,-4.373703898101853,-2.9700440161995147,0.0,0.0,0,0.0,1.0,1.0,24.0,60.0,24.0,60.0,3.336,2.22,1.668,5.5680000000000005,0.08,0.04,0.02,0.06,2.436,3.048,2.028,2.028,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.06251804330393,82.12503608660786,2.8161376072168003,5.255545847748535,8.073122529569831,0.0,0.0,1144.9093087627477,378.9440134725388,378.3668288884832,374.8459976971977,378.00168313407846,373.9050916262096,376.573016601879,378.30705668234094,378.07964421832446,375.3121419515738,369.7256232223764,390.79761869317974,381.80302138833713,385.5277035291319
