respid,1,2,3,4,5,6,7,8,9,10,11,12
87,-0.8336032071892502,-0.5991995506498955,-0.7660971869104589,2.1988999447496056,0.14375268023430032,0.15729298324788943,-0.41408368663431705,0.11303802315212724,-0.07122680544633803,-0.03366693662493196,0.046467554494778886,0.058426187576491095
94,-1.5848124093988576,1.446796238008748,1.684189752684485,-1.5461735812943744,-0.5261373554055879,0.6833736045178911,-0.06095887125489258,-0.0962773778574107,2.113032025034809,-0.7117282731152684,-0.6902625500256314,-0.7110412018939101
109,0.2496395344611372,-0.29643431518394825,-0.04794620037366848,0.09474098109647949,0.09068217135782115,0.839670338514294,-0.8849921737308324,-0.04536033614128271,0.0,0.0,0.0,0.0
127,0.07852548578473373,0.02486465302664662,0.022548871372172923,-0.12593901018355327,1.3352850654874087,-0.8435366115538605,-1.1180405875590993,0.6262921336255498,0.0,0.0,0.0,0.0
159,-0.006210332303913278,0.005373950091625392,-0.00783025476482587,0.008666636977113756,0.23619719025075253,-0.19489545975346229,-0.24945674147252622,0.2081550109752364,0.16392861571170933,0.19726789574798492,0.3521401173571037,-0.7133366288167986
171,0.033261799488665415,0.04464210188891718,-0.019427562462037445,-0.05847633891554515,-0.3714568840688947,0.5439261252800839,-0.49305399807750844,0.3205847568663192,0.012915524338434793,-0.06322586172909009,0.0624487072216422,-0.012138369830986899
222,-0.08989296419008361,0.14079370888881448,-0.11914654027536423,0.06824579557663335,0.0379756030063075,0.35733445362471555,-0.36690049293702176,-0.02840956369400133,-0.0033566244435874622,-0.06817400512293456,0.08452432623900219,-0.012993696672480168
272,0.12218910088516446,-0.09142721959257757,0.16099083746619586,-0.19175271875878275,-0.2664126872783211,0.36669650107315843,-0.3908569222984149,0.29057310850357715,0.00871226352841812,0.07883380559620538,-0.16352048030927738,0.07597441118465388
346,-0.013970902367850011,0.01662210768402107,-0.00956206448736788,0.006910859171196823,0.003846097796416333,0.0322140226528533,-0.020838090540975594,-0.015222029908294039,0.027627690865333763,-0.02700212010749676,0.027627690865333763,-0.02825326162317077
351,-2.429740307344233,0.7770075344199732,0.839405248806148,0.8133275241181116,0.7146632229786394,0.5812108173661251,0.7125470802271593,-2.008421120571923,-0.047961375450254765,0.11295006440562759,-0.15261569587715446,0.08762700692178164
