respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,cons_0,cons_1,cons_2,cons_3,cons_4,cons_5,cons_6,cons_7,cons_8,cons_9,cons_10,cons_11,cons_12,cons_13,cons_14,cons_15,cons_16,cons_17,cons_18,cons_19,cons_20,cons_21,cons_22,cons_23,cons_24,cons_25,cons_26,cons_27,cons_28,cons_29,cons_30,cons_31,cons_32,cons_33,cons_34,cons_35,cons_36,cons_37,cons_38,cons_39,cons_40,cons_41,cons_42,cons_43,cons_44,own_0,own_1,own_2,own_3,own_4,own_5,own_6,own_7,own_8,own_9,own_10,own_11,own_12,own_13,own_14,own_15,own_16,own_17,own_18,own_19,own_20,own_21,own_22,own_23,own_24,own_25,own_26,own_27,own_28,own_29,own_30,own_31,own_32,own_33,own_34,own_35,own_36,own_37,own_38,own_39,own_40,own_41,own_42,own_43,own_44,wlth_0,wlth_1,wlth_2,wlth_3,wlth_4,wlth_5,wlth_6,wlth_7,wlth_8,wlth_9,wlth_10,wlth_11,wlth_12,wlth_13,wlth_14,wlth_15,wlth_16,wlth_17,wlth_18,wlth_19,wlth_20,wlth_21,wlth_22,wlth_23,wlth_24,wlth_25,wlth_26,wlth_27,wlth_28,wlth_29,wlth_30,wlth_31,wlth_32,wlth_33,wlth_34,wlth_35,wlth_36,wlth_37,wlth_38,wlth_39,wlth_40,wlth_41,wlth_42,wlth_43,wlth_44,home_0,home_1,home_2,home_3,home_4,home_5,home_6,home_7,home_8,home_9,home_10,home_11,home_12,home_13,home_14,home_15,home_16,home_17,home_18,home_19,home_20,home_21,home_22,home_23,home_24,home_25,home_26,home_27,home_28,home_29,home_30,home_31,home_32,home_33,home_34,home_35,home_36,home_37,home_38,home_39,home_40,home_41,home_42,home_43,home_44,seed
87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589280351817,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,124.77304823887658,105.60719817460426,95.27086011582243,89.2854748691043,85.46620218903261,63.5546362372329,58.157863807644475,43.92418262412778,24.01465348461734,18.200000000000003,18.200000000000003,27.023895477942453,257.14420098720245,39.11655015240508,36.33875897878275,22.981142489007144,21.19213615305561,18.200000000000003,22.316896173939885,21.1921361530556,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,553.863,487.54795393459966,393.31796834654176,308.5811756422963,229.0383033817073,152.55366897319115,97.43213206018903,47.207625385496144,8.124403236947629,-3.29,-3.29,362.76213439744413,171.29799534626142,106.13636544544994,58.156150720517154,3.7741557006965696,-3.29,-3.29,-1.5625529595392625e-14,-3.29,-3.289999999999991,,,,,,,,,,,,,,,,,,,,,,,,,450.0,457.69904231050157,490.69261236134435,473.49454892434653,518.4361008174563,489.83516926167334,498.21575080237847,558.0758613173593,515.4095167040821,403.7024569000723,468.56387471002574,0.0,243.92228335091096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-1.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,125.66223537282237,105.2601274551823,90.14706799051592,79.64196711942644,129.96725151835076,18.200000000000003,122.02982742235893,98.28675893882651,80.3903934458908,68.89725988969982,61.425216526672344,62.467686170025345,53.747664639915314,50.5592496147901,49.73013896028088,48.17446721729556,47.78313936392762,47.827743677780184,47.95028500706682,48.192148771741515,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,141.61220077694716,93.14424525626566,59.45412692181256,36.03609615909275,268.11072559515634,214.6214683345055,138.39889191265456,85.82855136689469,51.226188987992536,28.288920996651676,13.057201488738302,-3.0978703515345587,-10.465298997938707,-14.457835336299036,-17.40683239247005,-18.52647536355444,-18.96646316026096,-19.164803731257766,-19.204320814443513,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,311.9812951310754,287.7228876256445,316.17984532193714,333.34291087674177,0.0,107.2652196811901,79.5702285921628,106.0919708572423,105.40982813800238,104.67007253061405,42.30758090578573,71.6752666235387,102.14674524694182,133.43632990220956,165.30167679326877,66.48304398754152,131.14862168468574,64.09247368096068,96.0574928202003,,,,,,,,,,,,,,,,,,,,,,,,,,
109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70,129.61579259628797,129.61579259628797,3,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-1.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,84.4109356133071,89.12997092578348,329.96953653769833,329.47563097365946,308.5656966415998,275.9348332211339,234.0834333132523,208.42638044951704,193.97538567228776,188.0469721061098,186.5821446957559,142.39296326163793,115.8573474110618,247.35289538684847,66.53856472961411,50.903278975291315,194.1688977691915,120.39681542224827,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,560.5796829685331,617.6011082037313,464.9322855824516,311.7828980450604,178.7483533959961,77.84935272678392,18.70264812974728,-15.09402755313185,-34.75761351520893,-48.599548522234926,-62.31541858679615,-42.64359576417875,-42.64359576417875,13.336067355986625,62.01588265081448,34.97861912791864,-35.51140498296392,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0,219.14946155456752,153.9953955821814,144.56264456482492,234.68054608538,183.2657425368539,123.75081081862592,118.23695023806374,175.86113612478897,108.53281372246096,237.477047255288,236.4716384903116,165.78359218662357,233.71558171241253,0.0,0.0,20.61439576243322,-52.80743375887437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.0,0.5607410302174016,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,55.492048046554494,135.34853446443947,18.200000000000003,154.40521652386894,192.7539895898357,148.25330025608338,108.64781558423748,81.24150185378488,58.17984162514906,50.89846020440104,32.86894123501643,21.61916774140835,18.200000000000003,18.200000000000003,18.200000000000003,18.262292767576522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-5.217894251739241,1260.9115552927158,818.3537852993655,661.5503865524587,465.16165898791263,313.9314650423615,203.28668501716484,122.77938749035425,66.70229698565848,19.288513464247956,-8.851100926099866,-17.440649963388132,-17.440649963388132,-17.440649963388132,-17.440649963388132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1464.429457979527,0.0,448.31112558454186,426.0236690629646,456.08513150551687,330.7655460873476,309.64446700436577,347.04848757570505,387.62656941287673,254.43014281337707,297.2320328010936,223.2650048259436,267.8997670340076,254.28986089063505,299.3185680785018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65,0.0,0.0,1,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.0523569845897126,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,73.18778850329453,58.123056895686766,51.746555598978404,50.748390224638854,188.00469223718835,18.200000000000003,98.55147950313943,28.608246515533477,125.2552591606731,18.200000000000003,18.200000000000003,146.59817526225362,212.3717514776602,36.17595838366256,559.3898418808352,18.200000000000003,46.91512693975421,159.17131397081607,516.2955704140768,30.832835432987924,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,65.0,38.6487277065008,20.71683129848105,9.045302535577317,-1.7881786029212308,870.3240605266419,448.77843942408225,338.4560957761034,267.290565764255,610.5624948700613,591.9133201790676,321.9081533751247,180.80144082056717,566.428723634844,359.9469164561261,539.8502940490375,492.31198003922907,129.39951863447544,-13.89042023775778,-13.89042023775778,-13.89042023775778,0.0,-7.812764797696313e-15,-7.812764797696313e-15,-7.812764797696313e-15,,,,,,,,,,,,,,,,,,,,,1000.0,1054.317039399462,1076.3586204740184,997.66477699224,1107.0732652462905,0.0,322.66147554192776,363.2236510998606,557.6985363706152,0.0,0.0,277.0403671390976,669.8878077456608,0.0,809.9967461900966,0.0,0.0,-109.31703438276293,602.0765535871695,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050082593205588,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,68.93981252229996,60.639143359676986,55.13365088400744,54.603767583670944,49.621305064743524,46.941810155137944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,33.52380981686519,17.48873715754895,6.853332933730564,-3.4558870617310213,-9.00003363481754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,605.8851416130163,602.7834778654637,570.446896642167,480.0463543611546,514.2404634651384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077942,26.944901400077942,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998505759493,0.1112248550004543,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,103.03816826639965,83.15747235260328,66.93317846075225,67.63315012938335,50.73558702095911,40.462270495240794,34.21633835932353,213.64406687412688,18.200000000000003,42.37126865394238,30.969419010207478,26.262281361969183,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0,198.5487182857631,141.40958864597897,100.08355196255793,57.63517520468698,31.82757160892689,16.137162358297754,6.597766670560462,87.68197068250068,35.191338264416395,4.012950440463764,-8.864872560625644,-8.864872560625644,0.0,0.0,0.0,0.0,-7.812764797696313e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,286.153341672266,288.9341737246123,290.92157939820856,289.62755308558417,294.93749530554595,296.9661942440287,299.00884739127946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,1278.4983244321725,6,1,1,408.77373818632424,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67,37.73405492839256,37.73405492839256,1,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708707147384,1.3173860661475267,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.90885363048835,217.90564023460118,175.24802783732994,147.65782178589384,167.75631026926914,141.7174200125878,125.14242938555968,114.59166045578262,107.87559481722789,103.49172749132742,58.619837885287396,58.67625980455113,58.33706375537259,171.80624184494448,18.200000000000003,169.66658936463708,139.10786344486522,140.41670002061787,96.07810990932738,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.77373818632424,290.1660087590598,213.4525803628532,163.83566142580503,93.41960251246539,48.59643589608539,20.064361018217514,1.9023399409568236,-9.952798924251264,-17.728978839279616,-18.393375440000028,-19.143611121836877,-19.571425600127775,764.4924068474875,524.1604568730703,381.7820855816886,270.1820789984314,157.4311457905147,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,727.9594459435527,720.5731279030003,715.5617939393063,763.012621924686,651.1872163280168,769.6033538080829,772.9200375889046,850.0629728599663,622.2984378674499,782.9560971081829,786.3303258917824,973.8651277546201,0.0,80.27923428265024,199.56503760195426,109.5617578138714,347.632741803071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63,0.4999992854521505,0.4999992854521505,1,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373879373,0.5391564617020568,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.2760000000000002,2.724,1.6320000000000001,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,86.19259712270909,18.200000000000003,173.85684788130794,26.314092787694456,18.200000000000003,27.60833071328582,25.98426681230953,27.472813929018862,27.36709922646224,28.99527433929675,28.760892233153754,27.251687338919254,27.52586978442039,28.897510188465613,28.742573961812635,30.318977263176055,18.200000000000003,18.200000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,362.33328263556007,218.05512366591205,132.27039928549343,96.45883485423643,36.4511031255695,0.6077161635750703,2.24810217811154,0.7445949141666204,0.8513720671471892,-0.8634475318404075,-0.6057329460843445,0.9679438634434819,0.6910058385535136,-0.7559510678489683,-0.585591111077701,-1.8752973200168355,-3.906382398848156e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.0,0.0,122.09835340925352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68,52.747812771073114,55.396971424673225,1,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112181381724,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684000000000001,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,174.25812087231355,201.7390841176797,173.20913244691164,137.85898006509458,121.8743874886451,86.63590761005459,258.0257195906731,18.200000000000003,218.792116436291,168.2000790218611,121.50130987574883,94.8250179724236,18.200000000000003,52.37395437339275,62.680547865815974,58.087263480734286,65.89984400402811,48.93212343313561,40.59276578971364,41.37941977111874,45.06100874566579,48.71930580795336,47.99369482539828,21.408166728442964,21.40816672844296,21.408166728442968,21.408166728442964,21.408166728442964,21.408166728442957,21.408166728442968,21.408166728442957,18.200000000000003,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,460.0,391.19330299220456,255.8841771408397,148.03185441861876,74.80102515232889,16.979454218815746,-6.008168900696379,1306.8620148827922,769.6973691810169,547.5261804135448,376.998725193933,253.3534210561452,159.2233210635989,253.09821937809951,209.05151869174796,164.21283411055245,123.89335670867193,75.60569247931346,0.9560543732515916,-13.615456437887833,-14.48042095368362,-18.528508041529005,-21.753139779114424,-3.5275361803969343,-3.527536180396926,-3.5275361803969294,-3.5275361803969343,-3.5275361803969343,-3.5275361803969343,-3.527536180396926,-3.5275361803969343,-3.527536180396926,,,,,,,,,,,,,,1500.0,1407.567344137596,1479.4873846680168,1328.7962652077204,1297.9642352731641,1270.0153207060312,1634.4355638211744,0.0,576.9074434853751,384.8545489481494,413.9271315283654,441.6014897883887,201.92228687875786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
