,ann,ltci,rmr
0.5,1.0118062298255661,1.2130932347800345,1.0307566213294064
0.875,1.030708379829276,1.686595852490018,1.0535253362371693
1.25,0.9395358063910003,2.1617480412547834,1.1291236312396062
1.625,0.8698866782644538,2.61596808663773,1.167650225130053
2.0,0.7797601990566381,2.9282253939669283,1.2123802366171326
