,ann,ltci,rmr
0.5,0.8172043010752689,0.5641998734977862,0.6685641998734978
0.875,0.17647058823529413,0.21695129664769133,0.5692599620493358
1.25,0.0056925996204933585,0.10815939278937381,0.47881087919038584
1.625,0.002530044275774826,0.06388361796331436,0.43200506008855155
2.0,0.001265022137887413,0.04048070841239722,0.41366223908918404
