respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
11110,1278.4983244321725,1,0,1,530.0,0.0,850.0,63,27.625589812549215,27.625589812549215,1,,,,,1,0,0,0,0,0,0,0.0816127549897643,-3.6927906425365418,-0.9584632136429138,-1.2157862004407285,0.1089509742356244,-5.254615586631334,-2.572349718343333,-0.805262288018444,0.2417539997152305,-7.53628782940455,-5.209396918445348,-3.95459909836313,,,,,,,,,,,,,-0.6916133243118774,,0,,0.1131973631966393,0.6255471520786932,106.0,265.0,106.0,265.0,2.124,2.556,2.556,1.704,0.08,0.04,0.02,0.06,3.048,11.448,9.156,19.080000000000002,24.0,48.0,24.0,48.0,127.5,255.0,127.5,255.0,0.2,0.2,0.01,0.01,0.1,0.1,0.01,0.25,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0,0.0,946.2708670639884,331.36068994940484,323.3852966780327,315.9891425367438,331.30154796380424,329.91332176389,329.34712713274564,329.3749005890209,328.8419378760645,330.38606089021147,321.2494355114083,329.0718057559234,327.76872547074464,324.67108262449307
11111,4851.619932747694,9,1,1,674.7866652389572,0.0,400.0,64,34.392131306278884,19.177146669705678,1,68,47.28918054613345,28.76572000455852,1,0,0,0,0,1,1,1,0.0832640458425046,-3.42978302934332,-0.7017500665872338,-0.9081688345649064,0.1128608390241441,-4.933795300840829,-2.296358419460916,-0.7367947131345249,0.2695633826203706,-8.371838802978518,-5.873690151857272,-4.715566249419143,0.0873516327962001,-4.436724184720052,-1.8186187097356183,-2.108121205034591,0.1131712384808453,-5.269019794689728,-2.7144192475372884,-1.386996687353882,0.2371120886127206,-7.15938659875574,-5.139001798258812,-4.029053234376415,,,1,1.0,0.3300020976498917,0.0331951626601603,105.0,262.5,105.0,262.5,2.124,5.1000000000000005,1.272,1.704,0.08,0.04,0.06,0.02,4.656,23.292,3.108,19.404,24.0,48.0,24.0,48.0,60.0,120.0,60.0,120.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,31.207843260188085,62.41568652037617,2.5829861998215877,4.986204803302457,8.364567309034976,0.0,0.0,408.1596769784491,355.1180195726935,351.8751795290758,366.28336805121336,349.424521366392,359.5995638628384,353.2535527303814,350.3651033306113,354.5123845107493,355.3448035423478,350.8234824157988,356.19194658420315,353.1154858341835,358.5171795398012
11116,1278.4983244321725,6,0,1,0.0,0.0,225.0,70,79.89721697304762,79.89721697304762,1,,,,,0,0,1,1,0,0,0,0.0730170065034913,-3.4547945893151084,-0.8943739812246068,-1.0783012019214075,0.1066553035826871,-5.11948443396399,-2.658691943976814,-0.8978742591591053,0.2565643131529749,-7.890585134091452,-5.746286853213358,-4.331665955742869,,,,,,,,,,,,,-2.4175794808053377,,0,,-2.747236999426488,0.8673454179309807,0.0,0.0,0.0,0.0,3.336,3.336,1.116,5.5680000000000005,0.04,0.02,0.06,0.08,0.0,0.0,0.0,0.0,24.0,48.0,24.0,48.0,45.0,90.0,45.0,90.0,,,,,0.1,0.1,0.25,0.1,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.0,0.0,506.90885363048835,269.2395021628437,269.2395021628437,269.2395021628437,269.2395021628437,269.2395021628437,266.2195311169535,267.86298643783704,269.39372935098874,264.6260733483024,270.11963849605746,272.4157917047118,269.2289049115171,270.3146200986828
11139,938.1637312456232,10,1,1,155.0,0.0,450.0,65,52.52871303156196,52.52871303156196,1,63,49.19355664860565,49.19355664860565,1,1,1,0,1,0,0,0,0.0702551557504286,-3.84272072856668,-1.223310818887526,-1.6484438271486277,0.1012470404045009,-5.154649599125003,-2.633755601672644,-1.1785522676194111,0.1481528998691875,-4.566632378233869,-2.7322062013728123,-1.7247784058871007,0.0740579405505338,-3.2771412207948085,-0.5671429877456867,-0.770243314946653,0.1092088304461597,-5.192369823687524,-2.6124804097238474,-0.8576607756383884,0.1738031366503531,-5.912544753716284,-3.772408996894952,-2.5565627857211064,-0.688174352657401,-1.4696095895326575,0,0.0,-0.0022758099979097,1.5,31.0,77.5,31.0,77.5,2.928,2.928,0.972,4.884,0.04,0.02,0.08,0.06,3.048,3.8160000000000003,2.544,2.544,24.0,48.0,24.0,48.0,90.0,180.0,90.0,180.0,0.5,0.05,0.5,0.01,0.01,0.05,0.2,0.01,0.1,0.01,0.01,0.05,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0,0.0,311.31759594053744,406.02419822715984,407.18619739947127,403.48522732330326,406.5103327994627,401.7697541058595,403.21150773550215,404.3003204185808,405.92701285792043,401.55984466161163,408.8246207408806,415.21479778030124,406.7031767570035,413.5052904296672
11157,1278.4983244321725,6,0,1,200.0,0.0,400.0,67,75.47407814847911,75.47407814847911,1,,,,,0,1,1,1,0,0,0,0.0799615903212522,-3.679113341896511,-1.0331266413170348,-1.105184608432579,0.1067780571452794,-5.247733454614973,-2.613516230532755,-0.7775470322870993,0.2638799420807873,-8.155339772349299,-5.89450830275305,-4.375797099465495,,,,,,,,,,,,,-0.824849694486555,,0,,0.1195884633299822,1.5,60.0,150.0,60.0,150.0,1.668,2.22,3.336,5.5680000000000005,0.08,0.06,0.04,0.02,4.8,7.212,1.92,14.412,24.0,48.0,24.0,48.0,80.0,160.0,80.0,160.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.0,0.0,506.90885363048835,302.5601339498519,304.2684345487658,300.2477553123337,300.2118046121463,310.19042239895725,300.9839813877116,301.038901457222,298.49373867278985,296.0225864928208,302.5918351853472,307.24285600875254,304.8555996656761,309.5875183541715
11164,1278.4983244321725,1,1,1,65.0,0.0,1000.0,66,52.21369682682498,52.21369682682498,1,67,28.391498957261895,28.391498957261895,1,1,1,1,0,0,0,0,0.0854310549517146,-3.5426186034953804,-0.949164649256942,-1.0877981185091927,0.1194295259722741,-5.213900086436486,-2.70267712404086,-0.8782966985117882,0.2406977400501048,-7.023183060907371,-4.795687325594484,-3.3911766895613127,0.0661808808766664,-3.6914696314770272,-1.0779443089867675,-1.1687597956911395,0.1005388126075135,-4.938782169566234,-2.250182247256468,-0.6917108726526002,0.1557573833181647,-5.554653548002838,-3.5989115270439416,-2.2285188422685644,-1.775439079868535,-1.4696873502016872,0,0.0,-1.7459797875593284,0.5461880637013854,21.0,52.5,21.0,52.5,1.668,2.22,2.7840000000000003,6.672,0.08,0.02,0.04,0.06,0.984,1.6320000000000001,1.956,4.08,24.0,48.0,24.0,48.0,200.0,400.0,200.0,400.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0,0.0,946.2708670639884,431.29690247878955,430.1212902073819,425.73605712824764,431.8999845579948,430.2223879763215,430.66918279481035,432.20657581679546,428.569489601179,423.6882030521738,431.22824337307327,455.32064584868374,437.53774970826515,451.28690092214543
11182,8497.513381368772,6,0,1,80.0,0.0,185.0,68,27.256059330766934,27.256059330766934,1,,,,,0,1,1,1,1,0,1,0.094035594589099,-2.503295135199613,0.1762084022016748,0.0100205110622663,0.13515864115241,-3.589726895580763,-1.0102010707567797,0.883475876163411,0.3234691285703961,-7.44175725083548,-4.911431990527429,-3.0094023950743893,,,,,,,,,,,,,-1.2784632220189505,,0,,-0.6527126688157867,1.5,16.0,40.0,16.0,40.0,3.336,3.336,1.116,5.5680000000000005,0.04,0.08,0.06,0.02,0.528,3.3000000000000003,0.792,3.96,24.0,48.0,24.0,48.0,37.0,74.0,37.0,74.0,0.01,0.25,0.01,0.25,0.01,0.5,0.75,0.01,0.5,0.25,0.2,0.99,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.0,0.0,506.90885363048835,111.83413429406802,110.56350480622143,108.87896638485843,110.63229746558443,109.14654177323013,111.30389827082277,112.71296428551572,111.93759074648663,112.08881454932119,113.17133109983548,113.91746541861706,112.94503103433843,115.31520595489103
11189,1321.982893522959,9,1,1,135.0,0.0,375.0,61,100.79084232034184,100.79084232034184,1,60,49.73232351332657,49.73232351332657,1,0,1,1,0,0,0,0,0.0724227275267377,-3.280464054674325,-0.6207732444758659,-0.8463847023553939,0.0995785357651262,-4.9419899606043725,-2.3328779190947,-0.7109158227224858,0.2412355519099127,-7.715132051482226,-5.321271697889741,-4.23289887339123,0.0821661214504922,-4.215453276414549,-1.546009301907157,-1.943615198519088,0.1072220277046541,-5.093601176993346,-2.4995850613205657,-1.110677421809996,0.2011949243665409,-6.278305191517239,-4.315673019630414,-3.233645702781012,0.4488925434355585,-1.2865688654135683,0,0.0,-0.3740814522497751,1.1719616906002186,35.0,87.5,35.0,87.5,2.124,2.556,2.556,1.704,0.08,0.04,0.02,0.06,1.44,2.4,2.4,7.2,24.0,48.0,24.0,48.0,56.25,112.5,56.25,112.5,0.01,0.01,0.01,0.01,0.1,0.05,0.05,0.25,0.01,0.01,0.01,0.01,0.0,31.207843260188085,62.41568652037617,2.5829861998215877,4.986204803302457,8.364567309034976,0.0,0.0,408.1596769784491,542.9741260375429,542.0117329940281,538.6471481485394,543.3292831302037,545.2236498739595,541.1554592948694,541.6531383096699,540.5411676838146,542.8627923471981,541.7955802134134,546.2718770543025,545.3582480012561,545.8552581951744
11197,1278.4983244321725,7,1,1,132.0055,0.0,725.0,65,12.380670614932002,12.380670614932002,1,61,28.182499366503443,28.182499366503443,1,0,0,0,0,0,0,0,0.083012393793744,-3.516539557314021,-0.8585186588643202,-1.071681867400017,0.1187507058649744,-5.2390619481154825,-2.8254666917140465,-1.0287186415077283,0.2375418279291473,-6.93452310194956,-4.689915664346112,-3.4404570677170683,0.0794474582408753,-4.0227833602310925,-1.2402010871289857,-1.5438581262314244,0.0988527293466452,-4.787864917370772,-2.028167827257746,-0.4858244798121539,0.1588095959466667,-5.937336572730884,-3.793212998605832,-2.498845916866342,-1.4444450537672668,-0.4066227711016089,0,0.0,0.323731669522387,0.6655695656242104,204.945,512.362,204.945,512.362,3.336,3.336,2.7840000000000003,2.22,0.08,0.06,0.02,0.04,6.204,23.268,15.504,46.524,24.0,48.0,24.0,48.0,145.0,290.0,145.0,290.0,0.01,0.1,0.4,0.5,0.1,0.15,0.15,0.25,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0,0.0,400.1858597446627,347.37993491093437,326.7017669287425,306.68814952252956,343.79181564905974,365.5746966515259,344.39941648858,345.2570214761434,344.9693770840333,346.4905881638809,340.81505717909425,356.10092240457556,349.6856139407615,356.958391297543
11205,8497.513381368772,6,1,1,13.612971119484838,0.0,380.0,61,26.87042251245684,26.87042251245684,1,61,48.05337400697534,48.05337400697534,1,0,0,1,0,0,0,0,0.0681776324394665,-2.724666929973397,-0.0857040071770755,-0.2711670176019082,0.0992452274745733,-4.229188090740032,-1.635327448601825,0.023714439262603,0.2082969252987143,-5.756290588422296,-3.527776716235397,-2.2008674911699573,0.06349020186169,-3.665831813293025,-1.0266534485063863,-1.1277331183203347,0.0996016414789032,-4.908526621335737,-2.3356772986906207,-0.556818464057535,0.1325033006796721,-5.006917144036344,-3.097253481180384,-1.6349620573122852,-0.7901636858661226,-0.070551642249694,0,0.0,0.1902371743534267,0.9024219371134284,126.0,315.0,126.0,315.0,0.852,2.556,2.556,4.248,0.04,0.06,0.08,0.02,8.64,12.948,3.456,25.908,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.5,0.25,0.5,0.25,0.01,0.01,0.01,0.01,0.0,24.936924647364513,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.0,0.0,506.90885363048835,347.5405796463259,342.2744561527075,313.6271827490095,332.9650673784387,339.00948523136213,349.07598764280704,348.68837062826543,345.988007659273,345.59323067906143,349.77384904360304,351.69247515406425,346.81788143738635,354.8280619991906
