respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12
15270,4398.058351676,3,1,1,490.66877651947294,0.0,1600.0,67,90.64281535315993,83.55736325280452,1,60,73.70321859949144,74.3034256281703,1,1,1,0,1,0,0,0,0.0729865442332555,-3.665096477833612,-0.9344054646842792,-1.3205654683065482,0.092154524536866,-4.5830324660551005,-1.87238828499168,-0.5904184762883229,0.152282987439181,-4.952671099760871,-2.9124532599243613,-1.902516824279996,0.0701946013869022,-2.7716097983097674,-0.1509511210256056,-0.320929519679929,0.1028460355555564,-4.190929446001616,-1.686163474551676,-0.0649722995058917,0.1958318102697292,-5.725700118959536,-3.523264213899682,-2.282137178868227,-3.152706666867658,-3.2710506744613994,0,0.0,-0.8440182885398175,1.5,106.0,265.0,106.0,265.0,2.928,4.884,0.972,2.928,0.08,0.04,0.06,0.02,11.064,9.216000000000001,9.216000000000001,13.824,24.0,48.0,24.0,48.0,320.0,640.0,320.0,640.0,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.06251804330393,82.12503608660786,2.8161376072168003,5.255545847748535,8.073122529569831,0.0435109906752037,0.0563232753687836,1144.9093087627477,4.753997539443899,4.765356852288364,4.755372062773565,4.762769245531273,4.7619333566046365,4.7608137473647005,4.767596980222867,4.762929982452782,4.769714749524223,4.645882096263772,4.668957523369888,4.647985151330603,4.671027205110217
15273,688.7628253365825,4,1,1,413.7192642396047,0.0,940.5408624818541,68,9.357053959962311,9.357053959962311,1,70,73.87147863128142,73.87147863128142,1,0,0,1,0,1,0,1,0.071799103743602,-4.052425722063517,-1.390581395099093,-1.6736037517021127,0.0981538440841157,-4.83589653642554,-2.390803497576373,-0.8380655533739514,0.1960699166916344,-6.145934266918675,-4.13655425289322,-2.8627944452590914,0.0758951842664118,-3.370440046041447,-0.6188373628719716,-0.8752004190871117,0.1105245254356748,-5.015850260241278,-2.399485981073827,-0.7226569003209241,0.2128080421326251,-6.806768854010037,-4.497791768467613,-3.257920036090601,-1.0850273162066475,-0.131245307560399,0,0.0,0.1306765680293691,0.3150056304852633,185.0,462.5,185.0,462.5,2.928,1.956,1.464,4.884,0.02,0.08,0.06,0.04,6.648000000000001,49.824,16.608,24.912,24.0,48.0,24.0,48.0,80.0,160.0,80.0,160.0,0.01,0.8,0.5,0.01,0.1,0.2,0.15,0.1,0.01,0.01,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.030374370190118,0.0813404307523295,540.3203242905112,4.478852814863376,4.465007603188158,4.568228438098071,4.5083139152117795,4.476748493809161,4.487346345828066,4.5060341451976464,4.49307059224557,4.494474954767158,4.449176063898562,4.275271784904945,4.393432842439366,4.389326367472395
15290,688.7628253365825,4,1,1,280.0,0.0,650.0,64,102.29937949145116,102.29937949145116,1,61,88.1524973665632,88.1524973665632,1,0,0,1,0,0,0,0,0.0819330605678453,-4.278983850530748,-1.6149312804577738,-1.8691531168792967,0.1091886613554088,-5.186628203294996,-2.5926539044550894,-0.9842899665735446,0.2024496351357541,-6.348323905697139,-4.383785801529387,-3.030826426741903,0.0815514261867111,-3.231359786581673,-0.5950069072074331,-0.7207923280437354,0.1113077145866071,-4.498090437442433,-1.9765818071153,-0.1594073607977521,0.2026892122375721,-6.45124059712879,-4.147109983250086,-2.723324436242816,-2.794953424043169,-2.8052233761547987,0,0.0,-1.0,0.5311226037948213,136.0,340.0,136.0,340.0,0.732,2.208,2.208,3.684,0.04,0.08,0.02,0.06,13.056000000000001,27.192,6.5280000000000005,10.884,24.0,48.0,24.0,48.0,97.5,195.0,97.5,195.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.030374370190118,0.0813404307523295,540.3203242905112,4.652546552165166,4.665871645115039,4.673787097978421,4.654565228150844,4.6463783898704,4.658208072458976,4.661795847556451,4.655878873397746,4.659414998827692,4.626285231190387,4.630639913372104,4.6319796913894,4.63073738533462
15292,999.5341708562004,5,1,1,500.0055,0.0,2000.0,67,128.13133067457383,9.949199506582497,1,69,205.36937580083566,159.897849212933,1,0,0,1,0,0,0,1,0.0827641522895385,-3.642282790441739,-0.9670628649727964,-1.1365397082897013,0.1183493547297011,-5.310633153846209,-2.776623321933105,-1.0094831553879868,0.2815001518595333,-8.569286056168586,-6.206209753285514,-4.809881663517447,0.0738530459447344,-4.18977709767261,-1.5426065073850443,-1.891344675681233,0.1031405401366824,-5.130995818056412,-2.630139787149304,-0.911121201842962,0.173259830114821,-6.289566518968898,-4.277426012482709,-2.817899361120704,-1.6103284756754774,-0.2415192279685385,0,0.0,-1.0,1.5,700.0,1750.0,700.0,1750.0,2.7840000000000003,2.22,3.336,3.336,0.06,0.08,0.02,0.04,33.636,56.064,56.064,168.18,24.0,48.0,24.0,48.0,400.0,800.0,400.0,800.0,0.01,0.01,0.25,0.5,0.05,0.08,0.05,0.06,0.01,0.01,0.2,0.1,0.0,32.031151990632324,64.06230398126465,2.1646502144932884,3.3744944371027596,5.753697696170352,0.0358802014094379,0.0857260427109676,509.9286737055783,4.791571472266113,4.831927015636857,4.805413049213667,4.8647918363931355,4.934451460023136,4.808036326553642,4.82361470483478,4.8073636761385155,4.822300884148318,4.645819738123578,4.661691720281373,4.698255654463163,4.669132987508903
15341,897.8346892314378,1,0,1,55.0,0.0,750.0,60,32.2948143154184,32.2948143154184,1,,,,,0,1,0,0,0,0,1,0.0682950988357234,-3.492096939569847,-0.8717953122136539,-1.049448584259468,0.095968639811435,-4.4063876132322335,-1.9007896650220029,-0.3111022866042843,0.1720713290986112,-5.239076778140084,-3.175141944374229,-1.9317848411759868,,,,,,,,,,,,,-2.184072026304504,,0,,-0.595592072573724,1.5,12.0,30.0,12.0,30.0,1.836,4.416,0.732,2.208,0.08,0.02,0.06,0.04,0.34800000000000003,1.296,1.032,2.16,24.0,48.0,24.0,48.0,112.5,225.0,112.5,225.0,0.5,0.6,0.4,0.4,0.5,0.5,0.6,0.6,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,3.859299544483817,3.8585378913723023,3.822369821204634,3.869540552055723,3.837443459026381,3.943335349616498,3.9715098548952574,3.9540043388104835,3.992194704468837,3.3087647677722645,3.47453992478557,3.370738414456392,3.3991090437795646
15385,8497.513381368772,1,0,1,20.5,0.0,1000.0,64,10.0,10.0,1,,,,,1,1,0,1,0,0,0,0.0937074437146143,-3.5368721905418417,-0.8691442183094763,-1.0926345205356418,0.1256842308700473,-4.847228028452724,-2.1948470712810257,-0.538089250181627,0.2741931311169323,-7.759656861932383,-5.394403190617446,-4.002750727602126,,,,,,,,,,,,,-2.954429440987237,,0,,0.1861651819684921,0.042325528630016,10.1,25.25,10.1,25.25,2.556,4.248,0.852,2.556,0.08,0.04,0.02,0.06,0.744,2.244,0.444,0.744,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,2.952729206280092,2.404816945188574,2.421579893444157,2.397597230817404,2.3847899841892195,3.2031644758475233,3.475738942624695,3.2195911758340685,3.494498788715787,2.237041638954427,2.3394847189602976,2.7176513976623404,2.2327979449020017
15390,897.8346892314378,1,1,1,420.0,0.0,800.0,67,14.533083314577349,14.533083314577349,1,66,31.253164631835652,31.253164631835652,1,0,1,0,0,0,0,0,0.0850701724797253,-4.208673151899687,-1.5333868431261364,-1.8037418854532008,0.1134523119005887,-5.351084291514525,-2.6570678105394614,-1.2162621482015616,0.244863855840232,-7.2907999628115,-5.227685548850622,-3.98096737608316,0.0947421733891121,-3.067273791262668,-0.4553212842925753,-0.5739025917469118,0.1350661806296615,-4.271913113356267,-1.83857741889034,0.4625147985737923,0.2590191191682778,-8.005571731037227,-5.651070485308575,-3.5404010876665963,,,1,1.0,0.578838334355253,1.4660181070350364,84.0,210.0,84.0,210.0,0.972,4.884,2.928,2.928,0.02,0.08,0.06,0.04,4.38,21.912,2.928,18.264,24.0,48.0,24.0,48.0,160.0,320.0,160.0,320.0,0.1,0.5,0.01,0.4,0.3,0.1,0.1,0.1,0.3,0.01,0.01,0.1,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.4660048596689492,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,4.35313988422244,4.3425745426542965,4.368743674525575,4.336941978793602,4.3561313803458965,4.359782084694439,4.353992618107655,4.352826294283651,4.361003816523692,4.267972487827396,3.87188381739553,4.148228177507938,4.127052231266368
15404,897.8346892314378,7,1,1,300.0,160.0,600.0,70,70.8240884277253,36.31423519131673,1,68,14.677758501253766,16.940635771631623,1,0,1,1,0,0,0,1,0.0591140932507553,-3.5067150685451773,-0.8964945757409474,-1.1974614224413256,0.1084921428531631,-5.018789623592036,-2.596730108895572,-1.162072451487666,0.2049837044638978,-5.852554256300484,-3.943539446374808,-2.7262997356974448,0.0784703541800664,-3.207386333191665,-0.5472726356297926,-0.5915315534363705,0.1018881841020904,-4.650885788462686,-2.0306551326619977,-0.2309122438871479,0.2040405752310318,-6.837271814208177,-4.501585024476213,-3.089123385930889,-1.758774900432953,-2.419289983752134,0,0.0,0.558439444868152,1.1778062029927052,60.0,150.0,60.0,150.0,2.436,5.856,1.464,1.956,0.02,0.06,0.08,0.04,3.384,16.908,5.64,5.64,24.0,48.0,24.0,48.0,88.0,176.0,88.0,176.0,0.01,0.1,0.01,0.01,0.2,0.1,0.3,0.3,0.5,0.01,0.01,0.1,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,3.9793874980994586,3.9707164907427446,4.002144392914831,3.9857355668549532,3.9262485956366704,3.991519417581622,3.9908238146511157,3.9971769833430693,4.013551015651497,3.838379508300536,3.4539747199413706,3.5051556361862994,3.621396766669803
15406,688.7628253365825,4,1,1,280.0,0.0,500.0,66,135.12892739393934,97.35645652178297,1,64,87.83380280606058,38.63351449277101,1,0,1,1,0,0,0,0,0.0885153353836154,-4.248319042053433,-1.543116291495083,-2.0294189536119007,0.113047001941329,-5.059618210965152,-2.514053410617676,-1.015810930776052,0.1861920355022077,-5.562009701277843,-3.5618004583978635,-2.3025793616189425,0.0759557041372162,-3.550283919357124,-0.8858871171660504,-1.0983867627726702,0.1020655438635918,-5.018644585900524,-2.4417035566515537,-0.62758890272357,0.1975309158184618,-6.942614807094476,-4.74898283735598,-3.3591234548039166,-2.5202332058163472,-1.455527546294756,0,0.0,0.0393266467951759,0.055178661742235,56.0,140.0,56.0,140.0,1.464,1.956,2.928,4.884,0.04,0.06,0.08,0.02,5.664,7.08,4.728,4.728,24.0,48.0,24.0,48.0,100.0,200.0,100.0,200.0,0.3,0.25,0.2,0.05,0.5,0.6,0.2,0.1,0.01,0.01,0.01,0.01,0.0,24.86167960088692,49.72335920177384,2.5378968308832714,5.281575561080865,8.983375793960331,0.030374370190118,0.0813404307523295,540.3203242905112,4.477615975969214,4.485194784639885,4.478504636555608,4.482874790389266,4.472553955507672,4.484115628556438,4.492066341194762,4.480928598602268,4.485726811448939,4.431394912976764,4.423923816411608,4.413506155027875,4.43559382553033
15407,1321.982893522959,2,1,1,172.1629114795895,0.0,2000.0,64,6.0571875103980055,6.0571875103980055,1,67,93.0089591632948,93.0089591632948,1,0,1,1,1,0,0,0,0.0748398870424884,-3.338928752549004,-0.6943759519036743,-0.7475835546278423,0.0989396668319855,-4.976958688563735,-2.35301154138758,-0.6008552754727176,0.2474895795559698,-7.813923464415536,-5.507785130045435,-4.266687228380258,0.0750187462113927,-3.4865343215909363,-0.8220520115201763,-1.0877717141675654,0.1112270442977961,-4.4570504722642506,-1.999946537628468,-0.5557246781671261,0.1960063806737367,-5.308839511399215,-3.263785571812147,-2.145352143908384,0.4642074534324585,-0.7427482480800748,0,0.0,0.3233875723962284,0.0461586461562058,16.0,40.0,16.0,40.0,1.272,4.248,0.852,5.1000000000000005,0.04,0.06,0.08,0.02,1.188,3.552,0.468,1.776,24.0,48.0,24.0,48.0,375.0,750.0,375.0,750.0,0.01,0.01,0.01,0.01,0.5,0.1,0.5,0.1,0.01,0.01,0.01,0.5,0.0,22.780487330677293,45.560974661354585,2.5599765043859644,4.106695190238511,5.361358762923038,0.0253665757193498,0.0331219292329464,458.263575575476,4.749263248229845,4.750775946016972,4.754270924481662,4.748968831114568,4.749840667231044,4.755947977706402,4.729124441493011,4.756803145235594,4.725546907796053,4.6445248611831875,4.482428773253707,4.446570037681919,4.657458352200826
